Team,Match,Alliance,Time,X,Y
1983,1,red,1.7,0.48,10.12
1983,1,red,1.8,0.47,10.11
1983,1,red,1.9,0.5,10.09
1983,1,red,2.0,0.57,10.08
1983,1,red,2.1,0.63,10.08
1983,1,red,2.2,0.66,10.05
1983,1,red,2.3,0.67,10.07
1983,1,red,2.4,0.68,10.02
1983,1,red,2.5,0.67,9.95
1983,1,red,2.6,0.83,9.89
1983,1,red,2.7,1.1,9.82
1983,1,red,2.8,1.42,9.78
1983,1,red,2.9,1.94,9.72
1983,1,red,3.0,2.53,9.68
1983,1,red,3.1,3.09,9.64
1983,1,red,3.2,3.77,9.53
1983,1,red,3.3,4.49,9.46
1983,1,red,3.4,5.35,9.4
1983,1,red,3.5,6.17,9.37
1983,1,red,3.6,7.06,9.33
1983,1,red,3.7,8.1,9.29
1983,1,red,3.8,9.14,9.22
1983,1,red,3.9,10.17,9.15
1983,1,red,4.0,11.18,8.89
1983,1,red,4.1,12.18,8.59
1983,1,red,4.2,13.22,8.25
1983,1,red,4.3,14.35,7.9
1983,1,red,4.4,15.45,7.6
1983,1,red,4.5,16.57,7.18
1983,1,red,4.6,17.62,6.88
1983,1,red,4.7,18.54,6.67
1983,1,red,4.8,19.4,6.46
1983,1,red,4.9,20.06,6.17
1983,1,red,5.0,20.56,5.97
1983,1,red,5.1,20.95,5.91
1983,1,red,5.2,21.18,5.89
1983,1,red,5.3,21.43,5.77
1983,1,red,5.4,21.57,5.68
1983,1,red,5.5,21.78,5.74
1983,1,red,5.6,21.9,5.74
1983,1,red,5.7,21.96,5.74
1983,1,red,5.8,22.08,5.69
1983,1,red,5.9,22.1,5.64
1983,1,red,6.0,22.17,5.66
1983,1,red,6.1,22.27,5.64
1983,1,red,6.2,22.3,5.63
1983,1,red,6.3,22.31,5.55
1983,1,red,6.4,22.27,5.62
1983,1,red,6.5,22.31,5.77
1983,1,red,6.6,22.29,5.91
1983,1,red,6.7,22.11,6.04
1983,1,red,6.8,21.99,6.12
1983,1,red,6.9,21.94,6.28
1983,1,red,7.0,21.87,6.34
1983,1,red,7.1,21.76,6.37
1983,1,red,7.2,21.6,6.46
1983,1,red,7.3,21.53,6.61
1983,1,red,7.4,21.47,6.78
1983,1,red,7.5,21.4,6.88
1983,1,red,7.6,21.39,6.94
1983,1,red,7.7,21.45,7.07
1983,1,red,7.8,21.51,7.19
1983,1,red,7.9,21.49,7.29
1983,1,red,8.0,21.51,7.46
1983,1,red,8.1,21.53,7.7
1983,1,red,8.2,21.46,8.05
1983,1,red,8.3,21.34,8.33
1983,1,red,8.4,21.23,8.57
1983,1,red,8.5,21.2,8.8
1983,1,red,8.6,21.12,8.99
1983,1,red,8.7,21.04,9.13
1983,1,red,8.8,21.07,9.16
1983,1,red,8.9,21.15,9.17
1983,1,red,9.0,21.19,9.19
1983,1,red,9.1,21.23,9.14
1983,1,red,9.2,21.26,9.09
1983,1,red,9.3,21.26,9.04
1983,1,red,9.4,21.21,8.95
1983,1,red,9.5,21.17,8.85
1983,1,red,9.6,21.31,8.75
1983,1,red,9.7,21.45,8.67
1983,1,red,9.8,21.55,8.51
1983,1,red,9.9,21.66,8.32
1983,1,red,10.0,21.78,8.11
1983,1,red,10.1,21.77,7.81
1983,1,red,10.2,21.7,7.62
1983,1,red,10.3,21.74,7.49
1983,1,red,10.4,21.9,7.49
1983,1,red,10.5,22.07,7.56
1983,1,red,10.6,22.12,7.73
1983,1,red,10.7,22.45,8.01
1983,1,red,10.8,22.69,8.16
1983,1,red,10.9,22.74,8.28
1983,1,red,11.0,22.77,8.3
1983,1,red,11.1,22.67,8.3
1983,1,red,11.2,22.63,8.26
1983,1,red,11.3,22.39,8.19
1983,1,red,11.4,22.14,8.2
1983,1,red,11.5,21.83,8.16
1983,1,red,11.6,21.34,8.16
1983,1,red,11.7,20.88,8.06
1983,1,red,11.8,20.32,7.97
1983,1,red,11.9,19.62,7.87
1983,1,red,12.0,18.8,7.63
1983,1,red,12.1,17.91,7.35
1983,1,red,12.2,17.0,6.99
1983,1,red,12.3,16.02,6.59
1983,1,red,12.4,15.0,6.18
1983,1,red,12.5,13.91,5.71
1983,1,red,12.6,12.81,5.19
1983,1,red,12.7,11.79,4.69
1983,1,red,12.8,10.8,4.16
1983,1,red,12.9,9.79,3.67
1983,1,red,13.0,8.81,3.18
1983,1,red,13.1,7.81,2.65
1983,1,red,13.2,6.9,2.28
1983,1,red,13.3,5.85,1.9
1983,1,red,13.4,4.77,1.63
1983,1,red,13.5,3.83,1.37
1983,1,red,13.6,3.0,1.24
1983,1,red,13.7,2.36,1.21
1983,1,red,13.8,1.76,1.2
1983,1,red,13.9,1.39,1.23
1983,1,red,14.0,1.13,1.3
1983,1,red,14.1,0.88,1.44
1983,1,red,14.2,0.67,1.53
1983,1,red,14.3,0.57,1.6
1983,1,red,14.4,0.47,1.65
1983,1,red,14.5,0.41,1.69
1983,1,red,14.6,0.37,1.7
1983,1,red,14.7,0.38,1.71
1983,1,red,14.8,0.4,1.69
1983,1,red,14.9,0.38,1.69
1983,1,red,15.0,0.4,1.69
1983,1,red,15.1,0.42,1.68
1983,1,red,15.2,0.44,1.68
1983,1,red,15.3,0.46,1.67
1983,1,red,15.4,0.48,1.66
1983,1,red,15.5,0.49,1.66
1983,1,red,15.6,0.51,1.65
1983,1,red,15.7,0.53,1.64
1983,1,red,15.8,0.55,1.64
1983,1,red,15.9,0.57,1.63
1983,1,red,16.0,0.59,1.62
5026,1,blue,0,null,null
5026,1,blue,0.1,null,null
5026,1,blue,0.2,53.81,9.91
5026,1,blue,0.3,53.78,9.91
5026,1,blue,0.4,53.76,9.9
5026,1,blue,0.5,53.76,9.89
5026,1,blue,0.6,53.77,9.87
5026,1,blue,0.7,53.78,9.85
5026,1,blue,0.8,53.76,9.85
5026,1,blue,0.9,53.77,9.84
5026,1,blue,1.0,53.77,9.84
5026,1,blue,1.1,53.76,9.86
5026,1,blue,1.2,53.75,9.89
5026,1,blue,1.3,53.75,9.93
5026,1,blue,1.4,53.74,9.98
5026,1,blue,1.5,53.73,10.0
5026,1,blue,1.6,53.72,10.0
5026,1,blue,1.7,53.74,9.96
5026,1,blue,1.8,53.77,9.91
5026,1,blue,1.9,53.77,9.86
5026,1,blue,2.0,53.78,9.77
5026,1,blue,2.1,53.8,9.74
5026,1,blue,2.2,53.77,9.76
5026,1,blue,2.3,53.73,9.78
5026,1,blue,2.4,53.73,9.8
5026,1,blue,2.5,53.73,9.86
5026,1,blue,2.6,53.71,9.89
5026,1,blue,2.7,53.7,9.91
5026,1,blue,2.8,53.72,9.95
5026,1,blue,2.9,53.73,10.03
5026,1,blue,3.0,53.73,10.04
5026,1,blue,3.1,53.72,9.99
5026,1,blue,3.2,53.76,10.01
5026,1,blue,3.3,53.79,10.05
5026,1,blue,3.4,53.82,10.05
5026,1,blue,3.5,53.82,10.01
5026,1,blue,3.6,53.79,9.98
5026,1,blue,3.7,53.83,9.99
5026,1,blue,3.8,53.83,9.96
5026,1,blue,3.9,53.82,9.95
5026,1,blue,4.0,53.78,9.93
5026,1,blue,4.1,53.77,9.89
5026,1,blue,4.2,53.8,9.89
